"V1","V2","V3","V4","V5","V6","V7","V8","n","var"
3.93552940496331,3.8843030666535,3.91419203158552,3.92682691998871,0.16,0.17,9,3,250,2
3.9835678125617,3.96337735463487,3.94596807375387,3.84568227397993,0.24,0.23,6,3,250,2
4.16655115810311,4.14626231928212,4.09745848658848,4.07566178915709,0.25,0.25,5,3,250,2
3.90818195628957,3.91700819695711,3.85674069001558,3.90360634683668,0.22,0.2,8,3,250,2
4.62367864844677,4.63422182105897,4.58718543109562,4.58144800072045,0.25,0.25,4,3,250,2
4.12113748986048,4.06288230527216,4.11950401021047,4.08354497556477,0.16,0.17,15,3,250,2
4.15768149077032,4.14569244704702,4.12116669792363,4.08437626272767,0.25,0.25,6,3,250,2
4.28975451680868,4.25494981383473,4.24482445838627,4.30914089354791,0.25,0.25,4,6,250,2
3.9001573708324,3.89165331744558,3.83452807699962,3.79758826242032,0.25,0.25,7,3,250,2
3.8979993892712,3.90534647087864,3.83049696174262,3.83469867201228,0.21,0.19,7,3,250,2
4.68545264490786,4.68978249892097,4.66537629602066,4.63556050916322,0.25,0.25,6,3,250,2
3.88210637023954,3.85962431021486,3.83611775323983,3.79370773978458,0.25,0.25,6,4,250,2
4.089318715585,4.02622867732434,4.04193122096745,4.04222759959246,0.23,0.2,10,8,250,2
3.78130803882105,3.78415063647786,3.74962152060453,3.77760241587399,0.25,0.22,4,5,250,2
3.93558182936702,3.95165946138934,3.9089338832882,3.85100677295843,0.23,0.21,8,3,250,2
3.72110405344908,3.66618226507811,3.71556174467923,3.70615555007966,0.19,0.21,9,3,250,2
3.69901461128085,3.72095178294786,3.66884814934629,3.64618461539836,0.24,0.22,7,3,250,2
3.69583387194703,3.69672298825077,3.63075759985141,3.64925381989453,0.25,0.24,6,3,250,2
3.74110361233724,3.73015722195773,3.65752357447762,3.69031298108969,0.25,0.25,5,3,250,2
4.26007829482983,4.26014618783102,4.21916587171906,4.1724295977851,0.25,0.25,8,3,250,2
3.9426983085863,3.9200511531571,3.93442761676429,3.90974653101305,0.22,0.23,5,4,250,2
4.2842597358411,4.24954136546671,4.23054538087484,4.20622020481707,0.25,0.25,5,3,250,2
3.76669039262985,3.75786805571707,3.69840214800309,3.6645763905847,0.25,0.25,6,3,250,2
3.86321361380575,3.84970906755345,3.82590240495437,3.86288385323365,0.23,0.21,11,3,250,2
4.75632210567431,4.76953645090838,4.7169673828874,4.67290463788207,0.25,0.25,7,3,250,2
4.49030887123348,4.47396138235371,4.48695357356967,4.51300254489889,0.23,0.22,8,3,250,2
4.23783273981556,4.26720392406246,4.20745539200969,4.28438145984017,0.17,0.16,16,13,250,2
4.69627868922781,4.70534733285456,4.65294011785059,4.56565496657886,0.23,0.23,5,3,250,2
4.44609309987269,4.42559051033859,4.3995819223849,4.4540768844587,0.19,0.19,10,7,250,2
4.29455653780555,4.29791753525953,4.25535572322361,4.20206170077104,0.24,0.23,6,3,250,2
4.21733121656006,4.22324593159708,4.18593592706572,4.12472181044406,0.24,0.23,6,6,250,2
3.910049998512,3.92049092674126,3.86904094417978,3.88037677101775,0.2,0.19,9,6,250,2
3.84266876983749,3.85368322544405,3.83133618306386,3.78962133435948,0.2,0.21,7,3,250,2
4.23756167310846,4.15923054419184,4.19696561796539,4.19782776661364,0.21,0.23,5,3,250,2
3.89081747645608,3.89332803836834,3.83592388222179,3.83985123915531,0.25,0.23,7,3,250,2
3.99753258307833,4.00632567191901,3.92781625157697,4.01464990426948,0.14,0.14,14,14,250,2
3.94316273215977,3.95309898723081,3.90902641144153,3.89938742273715,0.23,0.22,6,3,250,2
4.58656655158006,4.6191437235929,4.57338652023623,4.54656741046966,0.18,0.23,4,4,250,2
3.71172643734351,3.67573709145841,3.70616848325912,3.73571638906107,0.16,0.19,11,13,250,2
