V1;V2;V3;V4;V5;V6;V7;V8;n;var
0.0026893046775795;0.00262541335997779;0.00263531181865616;0.00255394658219138;0.08;0.07;19;10;350;0.05
0.00263620239509316;0.00259519277756339;0.00257767450189109;0.0024643029856126;0.08;0.08;19;6;350;0.05
0.00268200923617588;0.00269053890746935;0.00263036627681876;0.00257971230631196;0.08;0.07;16;6;350;0.05
0.00275945290195048;0.00276251909835824;0.00269908720151405;0.00265825431583171;0.08;0.07;16;7;350;0.05
0.00285893106935406;0.00286236844598244;0.00282728465998561;0.00269630670282621;0.08;0.07;20;6;350;0.05
0.00286667757413887;0.0028731151115629;0.00281047592205589;0.00274245218193691;0.08;0.08;21;6;350;0.05
0.0028128807906463;0.00280975589259796;0.00277525060650314;0.00262376464973586;0.08;0.07;22;6;350;0.05
0.00273639865326114;0.00270190238465297;0.00269555077747771;0.00268873548736153;0.07;0.06;17;11;350;0.05
0.00268254247310408;0.00269497305397059;0.00264126331426742;0.00248119376212247;0.08;0.07;20;6;350;0.05
0.00239797722173162;0.00237875534165377;0.00244226330234697;0.00233283670672072;0.05;0.05;17;6;350;0.05
0.00306136028053578;0.00306167306314605;0.00301756988007864;0.00288677138324698;0.08;0.07;21;6;350;0.05
0.00263344184456494;0.002582555900638;0.00251963519694875;0.00244035252125222;0.08;0.07;18;6;350;0.05
0.00270165397994751;0.00267117563162982;0.00273175424527507;0.00265300506122386;0.07;0.07;20;6;350;0.05
0.00275034580953403;0.00273102971224452;0.00270644921664154;0.00263578824313066;0.08;0.07;16;6;350;0.05
0.00262524271039149;0.00261485304601471;0.00258180721523754;0.00252717376139672;0.08;0.07;17;6;350;0.05
0.0024425890996054;0.00243333425346488;0.00240944307152656;0.00233611896567977;0.07;0.07;20;10;350;0.05
0.00250271936941183;0.00248555371607668;0.00242874220910378;0.00237010092552193;0.07;0.07;20;11;350;0.05
0.00241643381412884;0.00241283789125375;0.00241503951967152;0.00238257805871659;0.07;0.06;20;6;350;0.05
0.00242937720642737;0.00240142481017023;0.00237909260872652;0.00231195947815722;0.06;0.05;16;12;350;0.05
0.00273014255845993;0.00271676826515936;0.00266743377411556;0.00258583746796919;0.08;0.08;18;6;350;0.05
0.00252048957856699;0.00248785838111624;0.00246557842206567;0.00239263643752411;0.08;0.07;21;6;350;0.05
0.00273254535079979;0.00274933929497843;0.00267413120064193;0.00262607882731785;0.05;0.05;19;6;350;0.05
0.00268661108656052;0.00264103339071368;0.00268694045994205;0.00255411941738976;0.07;0.07;19;6;350;0.05
0.00244742110812385;0.00244083066890488;0.00237151522361045;0.00234651724474282;0.07;0.07;20;11;350;0.05
0.00295131626234121;0.00296703456548374;0.00289216091667905;0.00284888985347186;0.07;0.07;18;6;350;0.05
0.00285578770183277;0.00281751212551094;0.00285585096268447;0.00271064394151285;0.07;0.07;20;8;350;0.05
0.00288784978531399;0.00289679944597612;0.00281002262284965;0.00282354676828668;0.07;0.07;16;16;350;0.05
0.00283828541466068;0.00279736472608095;0.00278607909275935;0.00263580740666691;0.08;0.08;22;6;350;0.05
0.0028422018408212;0.00283027918294173;0.00274132764141027;0.00271557875398313;0.08;0.08;18;10;350;0.05
0.00275306905114774;0.00275375895148978;0.00270550708255575;0.00259218915851539;0.08;0.07;22;6;350;0.05
0.0027020003834905;0.00270185284079906;0.00270458650877139;0.0025567580073723;0.06;0.06;16;9;350;0.05
0.00260129382701272;0.00259163438765224;0.00251177087262129;0.00244582083936509;0.08;0.08;20;14;350;0.05
0.00260130402770658;0.00261543945722907;0.00256674308763513;0.0025123030004654;0.07;0.06;17;11;350;0.05
0.00263967097718624;0.00262198181845091;0.00261865387305844;0.00255731265833853;0.07;0.07;22;6;350;0.05
0.00245664710585947;0.00242201710921699;0.00252821979590443;0.00239634581340101;0.05;0.05;21;14;350;0.05
0.00254013811631001;0.00251629098971744;0.00250028053880942;0.00251203870099468;0.07;0.07;20;10;350;0.05
0.00260742788254568;0.00261321289820845;0.0025648409663607;0.00248572461990703;0.07;0.06;20;9;350;0.05
0.00287818086963903;0.00285154198186683;0.00278309751019171;0.0027593256384509;0.07;0.07;22;6;350;0.05
0.00259990661124004;0.00261713811792935;0.00256804115609231;0.00249463501529866;0.07;0.06;22;13;350;0.05
0.00274365692920764;0.00274758872310065;0.00266244705526499;0.00256662895798307;0.07;0.07;17;6;350;0.05
0.00267165282715144;0.00266725940183062;0.00252055038577762;0.00249254578389425;0.08;0.08;19;6;350;0.05
0.00289538258299087;0.00290089932680492;0.0028552233262357;0.0027317662055852;0.08;0.08;22;6;350;0.05
0.00281769879638734;0.00279886107518467;0.0027409397220483;0.00273385799374385;0.07;0.07;21;11;350;0.05
0.00257156273034954;0.00257542985683575;0.00253056065646606;0.00244862155697844;0.07;0.06;22;7;350;0.05
0.00255566078134033;0.00254878593668907;0.00258014087385829;0.0025231962032878;0.06;0.06;21;7;350;0.05
0.00301129659084008;0.00298723756938983;0.0029488765995559;0.00285991811589888;0.08;0.08;21;6;350;0.05
0.002683411393156;0.00266765349897418;0.00256590493238098;0.0025258079777142;0.08;0.08;19;6;350;0.05
0.00267865480946151;0.00264068735371937;0.00258874016302721;0.00261869768090493;0.07;0.07;19;13;350;0.05
0.00255815103038599;0.00257242249201211;0.0025227735805608;0.00241362742503586;0.05;0.05;20;6;350;0.05
0.0025402184355286;0.0025364911613805;0.00248066224587815;0.00236516667443887;0.08;0.07;18;9;350;0.05
0.00262825096990813;0.00262898352876989;0.0026353501790266;0.00250076883171394;0.07;0.06;16;8;350;0.05
0.00267865480224111;0.00254118462844346;0.00263583309885717;0.00254284942573727;0.08;0.07;17;6;350;0.05
0.0027824517254717;0.00278098810591469;0.00273752969556548;0.00271661026216772;0.07;0.07;21;10;350;0.05
0.00285851671159409;0.00286820744269093;0.00292330032685697;0.00279109845444787;0.07;0.06;19;6;350;0.05
0.00273934458898375;0.00273716009729013;0.00271026694591595;0.00261103549648784;0.07;0.07;19;13;350;0.05
0.00281718182963269;0.0027908519695838;0.00274215048653659;0.00264606532319772;0.07;0.07;22;7;350;0.05
0.00255942334850662;0.00255018134043132;0.00249529907350742;0.00238219690353317;0.08;0.08;20;6;350;0.05
0.00252844255723835;0.00250110201206583;0.00248858269997137;0.00237475636809392;0.07;0.07;20;6;350;0.05
0.0027447974303438;0.0026801101482394;0.00268428475132445;0.00260076457188786;0.08;0.07;17;12;350;0.05
0.0027006791910504;0.00268551401828467;0.00267593351836238;0.00261579974061327;0.07;0.08;22;13;350;0.05
0.00268988480767663;0.00269535043352111;0.00263731003373911;0.00259803670968046;0.07;0.07;20;6;350;0.05
0.00300922531871042;0.00293577197788682;0.00298818114428126;0.00278851888540571;0.08;0.05;20;6;350;0.05
0.00293057475230271;0.00292395223697933;0.002999427162217;0.00300958440926077;0.06;0.05;21;6;350;0.05
0.00234109465295853;0.00233602305689509;0.00231329789633985;0.00223517444510616;0.07;0.06;22;6;350;0.05
0.00262658733098662;0.00260436884512302;0.002551561543685;0.00251603851660357;0.08;0.07;20;14;350;0.05
0.00270279726916906;0.0027069067651239;0.00263135886345235;0.00253544485407674;0.08;0.07;16;6;350;0.05
0.00246581330287101;0.00238287732222989;0.00240135412540888;0.00233946565543046;0.08;0.07;20;11;350;0.05
0.00297420836196041;0.00298683428876019;0.00284692911354863;0.00279863407530931;0.09;0.08;18;6;350;0.05
0.00253256732020688;0.00252434706120804;0.0025347984369151;0.00248255663959697;0.07;0.06;20;6;350;0.05
0.00269128584960542;0.0026862468558412;0.002688594091881;0.00256632451708397;0.06;0.06;22;9;350;0.05
0.00272044499377843;0.00270173732189581;0.00266240512439109;0.0025288319051214;0.08;0.07;19;6;350;0.05
0.00265937836703475;0.0026692793703381;0.00260361472771459;0.00247968127854086;0.08;0.07;18;6;350;0.05
0.0029750320037626;0.00287138450200365;0.00292047340480165;0.00279748805716525;0.08;0.07;18;8;350;0.05
0.00290853954337672;0.00287529712094906;0.00281214575701065;0.00277668669778465;0.08;0.08;20;6;350;0.05
0.00268819221135009;0.00266209206730744;0.00266401995408845;0.00258704724150679;0.08;0.07;22;6;350;0.05
0.00248663825511219;0.00248514721935013;0.00242792959785074;0.00240892608881697;0.07;0.07;19;11;350;0.05
0.00301752775081332;0.00300801355360932;0.00300306560205126;0.0028247912326684;0.08;0.08;16;10;350;0.05
0.00284548260733908;0.00284860890307828;0.00284126529949483;0.00264982183182427;0.08;0.06;22;7;350;0.05
0.00300812453531403;0.00294932933954135;0.00294014829807195;0.00282420333323135;0.08;0.08;21;6;350;0.05
0.00244438696389409;0.00243249155118697;0.00237802243524834;0.00238672161488945;0.08;0.07;19;18;350;0.05
0.00308712186042859;0.0030327996509982;0.00294817769739859;0.00286551771957058;0.08;0.08;20;9;350;0.05
0.00297656153318747;0.00291851695366394;0.00292118950298446;0.00284745768830698;0.08;0.07;18;9;350;0.05
0.00293850037172164;0.00295244411133702;0.00288527099979865;0.00281109930632226;0.07;0.07;16;6;350;0.05
0.00308183950135258;0.00305467114566611;0.00302730075346015;0.00286449550437547;0.08;0.08;17;6;350;0.05
0.00274666460031913;0.00274988752401082;0.00269485912913816;0.00264488612051177;0.07;0.08;22;9;350;0.05
0.00225424347824374;0.00220759026977957;0.0023157453065006;0.00222015028463995;0.07;0.06;20;6;350;0.05
