V1;V2;V3;V4;V5;V6;V7;V8;n;var
0.0104241405727144;0.0101014112406437;0.0100759494791353;0.00994753296037475;0.12;0.1;18;11;250;0.1
0.0104893565079684;0.0103565988077417;0.0102962501348977;0.00984304582431635;0.12;0.12;13;6;250;0.1
0.0109360044937957;0.0110150310068854;0.0105060716831595;0.0104317652102374;0.09;0.1;12;6;250;0.1
0.0100786803114851;0.0101309157509782;0.0100790564322737;0.0098683151157055;0.11;0.1;13;6;250;0.1
0.0122632384038735;0.0123174201418645;0.0121060320632242;0.0115633702898514;0.12;0.1;17;6;250;0.1
0.0106212450605526;0.0105210051574818;0.0102493863928939;0.0105133622196081;0.11;0.11;15;6;250;0.1
0.0111279442108702;0.0110735077233838;0.0110366513131498;0.0104665695354256;0.11;0.1;18;6;250;0.1
0.0111793220853525;0.0109636202675072;0.0112458567392618;0.0108401010488611;0.08;0.09;17;6;250;0.1
0.0103936139328831;0.0104182335485849;0.0101160876503407;0.00969287884076188;0.12;0.11;14;6;250;0.1
0.00995871956842256;0.00982255677015282;0.0101135098292724;0.0098010797159126;0.08;0.08;21;8;250;0.1
0.0124599905533005;0.0124244780897293;0.0122058013327273;0.011700904971635;0.12;0.12;19;9;250;0.1
0.0104243929751476;0.0102758251656211;0.0100081439731283;0.00966118334014408;0.11;0.11;13;6;250;0.1
0.0105434710886136;0.0104415510722145;0.0104090946472487;0.010267008867394;0.11;0.11;16;8;250;0.1
0.00981896993554497;0.0097593790797684;0.0096030079086668;0.00952216020057355;0.12;0.11;14;6;250;0.1
0.010114695421976;0.0100907244065286;0.00992986917865949;0.00972388124683878;0.12;0.11;13;6;250;0.1
0.00979453895316171;0.00957783564624634;0.00977286550292993;0.00938265022678773;0.1;0.09;17;16;250;0.1
0.00967203046921182;0.00964613352604972;0.00949991590605294;0.00913218803538579;0.1;0.09;20;7;250;0.1
0.00960015841983866;0.00960192351727079;0.00935484959207435;0.00936664665871231;0.1;0.09;14;6;250;0.1
0.00977104386453358;0.00963870332013494;0.00990564323327505;0.00928897934431658;0.09;0.08;11;6;250;0.1
0.0112190839411651;0.0112752563349316;0.0109709096499096;0.0106895460589669;0.11;0.11;17;6;250;0.1
0.0104567497692437;0.010294186314903;0.0101406969246813;0.00996667471268083;0.11;0.1;19;6;250;0.1
0.010981508526344;0.0108021908468078;0.0107383286863513;0.010792463021862;0.05;0.05;14;6;250;0.1
0.010010267527256;0.00985173941329678;0.00992009893090688;0.00948690494346632;0.1;0.09;14;6;250;0.1
0.0101633047709403;0.0101211468197109;0.0100271296574014;0.00960804041138323;0.1;0.09;21;8;250;0.1
0.0124359815810623;0.0124674539692904;0.0122280235782791;0.011861808072565;0.11;0.1;16;6;250;0.1
0.011599819816628;0.0114377382008378;0.0114973043260129;0.0113100008287896;0.09;0.08;20;7;250;0.1
0.0107984160425873;0.0108339095636662;0.0104343563459166;0.0106433996110254;0.09;0.09;16;11;250;0.1
0.0125455773259124;0.0124132331131735;0.0122111621494344;0.0116857547837362;0.12;0.12;16;6;250;0.1
0.0115080200172735;0.0114650486598804;0.0112451018893715;0.011149419211762;0.12;0.11;17;8;250;0.1
0.0111392309925089;0.0111521675274155;0.0110803090314668;0.0107395627650148;0.11;0.09;18;7;250;0.1
0.0110393976610039;0.0111018734284223;0.0109755497637305;0.0103660208824633;0.08;0.08;22;6;250;0.1
0.0103691556565304;0.0103363098785688;0.0101896131142125;0.00978452986333567;0.11;0.11;13;6;250;0.1
0.00998809731443756;0.00992746109743461;0.00984306874527101;0.00960287341812382;0.1;0.09;15;6;250;0.1
0.0110659048871403;0.0109523587400814;0.0108976496669135;0.0107990643504213;0.11;0.11;16;6;250;0.1
0.0100863670335466;0.0100481298846117;0.0103051471525736;0.009722629437556;0.08;0.08;15;8;250;0.1
0.0103120956599799;0.0103185604754126;0.00982531166481695;0.0100111240946977;0.1;0.09;14;14;250;0.1
0.0101896651692589;0.0102215909534035;0.010211723502148;0.00991625162424039;0.08;0.08;18;7;250;0.1
0.0120744518603346;0.0120021071483609;0.0117631311037061;0.0114674515412222;0.11;0.1;21;6;250;0.1
0.00982680182130974;0.00971001992713759;0.00946721430170276;0.0093219283051761;0.11;0.09;21;11;250;0.1
0.0107575323448845;0.0108094643301804;0.0104968500829545;0.0103479465505442;0.11;0.11;15;8;250;0.1
0.0108814206194801;0.0108961195584603;0.0106256566669125;0.0104519068773233;0.11;0.11;14;7;250;0.1
0.0115404062322109;0.0116016034609877;0.0113243121751108;0.0110058047777343;0.11;0.11;19;6;250;0.1
0.0114107808858309;0.0113400929630009;0.0111666140672589;0.011035510188257;0.1;0.09;11;6;250;0.1
0.010516068803431;0.0104387474532052;0.0102406913896131;0.00991091363009898;0.11;0.1;21;6;250;0.1
0.0105143285857682;0.0104560404169372;0.0104132721192268;0.0105045047294573;0.08;0.08;22;6;250;0.1
0.0129290719503618;0.0128854154854816;0.0125367167940896;0.012534387937124;0.13;0.11;15;8;250;0.1
0.00864173437233158;0.008646741568191;0.00826631068757765;0.00814388366868514;0.11;0.1;14;6;250;0.1
0.0104112589254299;0.0104194611524442;0.0102068285879501;0.0103521762077645;0.1;0.1;14;6;250;0.1
0.0100465712421732;0.00984344243538078;0.0099506292751363;0.0098599021418382;0.05;0.05;14;8;250;0.1
0.00971316403320865;0.0096247262913402;0.00943281439872147;0.00902903217794261;0.11;0.1;13;7;250;0.1
0.00975717681733823;0.00970496870966879;0.00964260133384829;0.00911417811605452;0.08;0.09;18;6;250;0.1
0.011856936982492;0.0111205862769994;0.0115232442925449;0.0112647049311654;0.13;0.11;14;6;250;0.1
0.0110718516165441;0.0110492277901609;0.0106195632526141;0.0106169789819512;0.11;0.1;15;8;250;0.1
0.0114709529985152;0.0115494985539662;0.0111790456484876;0.0112159459514566;0.1;0.1;22;9;250;0.1
0.0110165229768689;0.0109548754610062;0.0106365681141158;0.010515515312222;0.09;0.08;14;6;250;0.1
0.0101715287337266;0.0101585238154115;0.00989661579690578;0.00952135200039252;0.1;0.09;17;6;250;0.1
0.0102607391691235;0.0102331060952591;0.00998256762792019;0.00963429299682748;0.12;0.11;17;7;250;0.1
0.00995150490644335;0.00987724833696256;0.00973274367400874;0.00946836311989029;0.11;0.1;15;7;250;0.1
0.00978822640509903;0.00963901425380318;0.00959347011617919;0.00929429333266162;0.11;0.1;21;6;250;0.1
0.0100945758688799;0.0100828945899722;0.00991604636086538;0.00973332128081046;0.11;0.11;22;10;250;0.1
0.00981227115546085;0.00983977803193977;0.00967332804671411;0.0094160896924047;0.11;0.11;15;6;250;0.1
0.0114757814664246;0.011292675920831;0.0114247364251906;0.0108591078855617;0.07;0.08;18;6;250;0.1
0.0108315730835796;0.0109094993641535;0.0114344303777386;0.0115791076759219;0.07;0.07;18;6;250;0.1
0.00813699984633756;0.00811011917330271;0.00798534496444766;0.00784308329836147;0.1;0.09;16;6;250;0.1
0.0103826276761235;0.0103894678523729;0.0101860279074591;0.0100549749668139;0.12;0.11;14;6;250;0.1
0.0110318578770468;0.0109606925363605;0.0106305472882315;0.0105074063821529;0.12;0.12;12;8;250;0.1
0.00899810164029997;0.00854126295628321;0.00890237445564896;0.00865626875865081;0.11;0.09;21;8;250;0.1
0.0112796079335644;0.0112816618847529;0.010800213273536;0.0108285206869327;0.13;0.11;13;6;250;0.1
0.0099370269315754;0.00985345901665562;0.0100266193971819;0.00957914295604268;0.08;0.08;14;6;250;0.1
0.011386630052594;0.0111440269621969;0.0112925276589665;0.0107006215088449;0.1;0.08;20;12;250;0.1
0.0100322408177133;0.00989943818076554;0.00990241782428263;0.00963453906837508;0.12;0.1;19;7;250;0.1
0.0111654226339158;0.0111260406987304;0.010930347927182;0.0106928966004902;0.12;0.11;17;7;250;0.1
0.0125100248656596;0.0119074310161606;0.0122423854144634;0.0117431513449852;0.12;0.11;17;6;250;0.1
0.0105736521805428;0.0106206588322847;0.0103879088395681;0.0103565871919816;0.1;0.09;15;11;250;0.1
0.0103617108939092;0.0103097921229312;0.0103180966098681;0.00991666632691353;0.08;0.09;11;6;250;0.1
0.0102681069959813;0.0102207796883017;0.00998931355238158;0.00992689846772536;0.1;0.09;18;18;250;0.1
0.0125677613583819;0.0125306520475059;0.0122479669664445;0.0116252353312623;0.11;0.11;14;7;250;0.1
0.0116884101706772;0.0116967225324553;0.0115037094737289;0.0110814441280206;0.11;0.09;19;8;250;0.1
0.0114973568863944;0.0114479425533598;0.0111558737101601;0.0107380691265608;0.12;0.11;14;6;250;0.1
0.00963368078075787;0.00959476486897949;0.00938259162701817;0.00944013307131243;0.11;0.1;13;13;250;0.1
0.0126047949337177;0.0122197964114097;0.0123489484238503;0.0119000899551321;0.12;0.11;16;7;250;0.1
0.0106464277776118;0.0105247480794191;0.01051159744291;0.0102178283544872;0.07;0.07;17;11;250;0.1
0.0122849064468431;0.0122210997068934;0.012030901882903;0.0120170480771157;0.12;0.11;12;6;250;0.1
0.0127905367462246;0.0127366192996849;0.0126602277687878;0.0120913034300968;0.11;0.1;17;8;250;0.1
0.0106043899533407;0.0104403704145303;0.0104213712761421;0.0100048747808956;0.11;0.1;16;6;250;0.1
0.00961323467483464;0.00930579866424939;0.00937971146944613;0.00928877829825516;0.1;0.09;21;6;250;0.1
0.011570409495795;0.0114793905023206;0.0113250473327674;0.0106267495874843;0.11;0.1;16;7;250;0.1
0.00975000920523433;0.0096985770874408;0.00943594859484472;0.0089434034210233;0.11;0.1;17;8;250;0.1
0.00999529579269904;0.00988481852360471;0.00995011248026676;0.00980384679270929;0.1;0.09;21;21;250;0.1
0.0109331064757662;0.0109409316812779;0.0104711449013973;0.010526002186484;0.12;0.11;13;8;250;0.1
0.0111006841009398;0.0109874684772551;0.0109968012780169;0.011026937971037;0.09;0.09;12;6;250;0.1
0.0100434165000228;0.00989980497617549;0.00974919690323937;0.00960196990304843;0.11;0.1;18;7;250;0.1
0.0121617413093161;0.0120968160891451;0.0118728377493628;0.0114435782526327;0.13;0.11;17;6;250;0.1
0.012349557606755;0.0122771551160756;0.0120993964052025;0.0118283082970763;0.12;0.11;14;13;250;0.1
0.0109839671134946;0.0108615577661723;0.0104971180179449;0.0107322554402398;0.13;0.12;15;11;250;0.1
0.00973242552489002;0.00983737562387763;0.0097508816990474;0.00978836346227562;0.07;0.08;20;12;250;0.1
0.0104103982904082;0.0103396775068747;0.0101691116332429;0.00973358811965736;0.11;0.1;15;6;250;0.1
0.0119709390630378;0.0120542701697917;0.011882829047959;0.0120390557414088;0.09;0.08;16;6;250;0.1
0.0100734991155136;0.0100261787891519;0.0101157225538466;0.00977107979928305;0.07;0.07;14;6;250;0.1
0.0115378640504764;0.0113145152634464;0.0113621039790091;0.0113922568749364;0.11;0.11;13;8;250;0.1
0.0115691232221577;0.0116679569830398;0.0115283377436985;0.0116452892265301;0.08;0.08;14;6;250;0.1
0.0114639794505098;0.0111012636942714;0.0109904435683547;0.0109288980697931;0.11;0.11;13;6;250;0.1
0.0101852144366098;0.0100737869289056;0.00992477290820559;0.0101005070280991;0.11;0.11;13;7;250;0.1
0.0103106380149705;0.0100043993470316;0.010435754742643;0.00959097579365613;0.11;0.08;16;9;250;0.1
0.00969766999869093;0.00962659535233424;0.00963330774523165;0.00955475976864009;0.11;0.1;13;13;250;0.1
