"V1","V2","V3","V4","V5","V6","V7","V8","n","var","Tipo","EQM_MIN","1","2","3","4","5","EQM_MIN2"
0.272600408859866,0.267385145436403,0.266142957287267,0.260348106006457,0.18,0.17,12,6,150,0.5,1500.5,4,0.227521132345797,0.230970442537681,0.222075351714353,0.224133562805824,0.3965223597981,3
0.280940525040456,0.282973610183612,0.26874552620165,0.256864147784771,0.16,0.16,8,3,150,0.5,1500.5,4,0.235014275440628,0.238545828545582,0.251538230785602,0.241050692197919,0.398106321525125,1
0.279758764668217,0.280493154116942,0.267152631588568,0.260466857121305,0.18,0.15,7,3,150,0.5,1500.5,4,0.229392382342519,0.239882052377625,0.246034432517906,0.238822680630502,0.426479411573312,1
0.231981258390022,0.230788098651416,0.226429531215059,0.217525648515788,0.16,0.16,11,3,150,0.5,1500.5,4,0.192863096803087,0.195191767668946,0.195522786184961,0.205676426601042,0.44986488776132,1
0.304067130185915,0.308393508958936,0.293581874108146,0.288004180988341,0.16,0.17,8,4,150,0.5,1500.5,4,0.257434867969952,0.260543725165464,0.262628713602054,0.266403324959667,0.450949458414321,1
0.257451453740811,0.253391872486667,0.245123620024284,0.244602648658234,0.15,0.16,9,5,150,0.5,1500.5,4,0.213010478845863,0.213525054236605,0.226376398576057,0.214785446643945,0.370994893119233,1
0.25468724009711,0.25426514875236,0.241027111851485,0.244050597888345,0.15,0.15,8,4,150,0.5,1500.5,3,0.208573873651451,0.211330053073217,0.234103078587709,0.224529919248818,0.415548562492168,1
0.266493094426665,0.263944077833263,0.272826381237286,0.263555477757808,0.11,0.11,16,3,150,0.5,1500.5,4,0.201283405647974,0.206345113151576,0.215315998018053,0.240233497238544,0.558110117982828,1
0.267200369423296,0.266294654220098,0.254173622564717,0.247462066125181,0.16,0.16,8,3,150,0.5,1500.5,4,0.223827983175053,0.225795866046666,0.23262132924285,0.23225283295418,0.414441058016826,1
0.238859969330763,0.235472833220963,0.234170171667086,0.24128175627143,0.11,0.1,21,12,150,0.5,1500.5,3,0.176188007202669,0.184033163539613,0.190188148789234,0.198722543746685,0.38686171766631,1
0.295826928253891,0.295672297038861,0.283958602609301,0.272160261271352,0.17,0.17,11,3,150,0.5,1500.5,4,0.249539578155145,0.249643436420334,0.241521770575351,0.256021127706371,0.366264457956856,3
0.265675394751731,0.265035653633301,0.249624114922401,0.250068979323436,0.16,0.16,8,4,150,0.5,1500.5,3,0.219490904155589,0.221484214095425,0.222233530500207,0.222537976417852,0.379613490575832,1
0.326935270267386,0.317203555536244,0.312875761399109,0.300127290954546,0.19,0.17,8,3,150,0.5,1500.5,4,0.273728191563089,0.279452129147056,0.282945137561839,0.287603900476551,0.520663425827225,1
0.291518843951472,0.29252768181299,0.282793331909131,0.275482250256665,0.16,0.14,8,3,150,0.5,1500.5,4,0.236672480786654,0.247197667807901,0.256582631679782,0.257025051057853,0.403686667210762,1
0.276897503602142,0.271584233881755,0.265015301757626,0.263053126518229,0.09,0.15,8,3,150,0.5,1500.5,4,0.224446891862645,0.203719412442496,0.239051993310933,0.242288397943139,0.409129673108585,2
0.244183924014755,0.24355199962088,0.234640019790107,0.236224686154083,0.16,0.17,10,3,150,0.5,1500.5,3,0.206962972220546,0.206283353540508,0.212980103294614,0.220769450242903,0.373591619361731,2
0.237000392069147,0.239097462114349,0.235117555719206,0.230164907832861,0.13,0.14,6,6,150,0.5,1500.5,4,0.192945445648032,0.191427352258557,0.241397380061869,0.207559440697152,0.392404521564392,2
0.217402778270343,0.215739162483502,0.213709956450865,0.204321470368127,0.14,0.12,17,3,150,0.5,1500.5,4,0.169981775840863,0.179087063589743,0.179540615386551,0.191503114473534,0.370482541969903,1
0.252601630362398,0.24520261373121,0.245384309427077,0.242593174444564,0.13,0.14,9,3,150,0.5,1500.5,4,0.203129951853643,0.200650940774487,0.226498837207309,0.226419011699307,0.437776181617401,2
0.25728199224108,0.254926178206699,0.243624187564949,0.242230014045293,0.16,0.16,10,3,150,0.5,1500.5,4,0.213649692495556,0.215585454108073,0.22029070170995,0.224809034127821,0.387791487756658,1
0.264495919737632,0.263736942350123,0.255922470984542,0.24843947808942,0.18,0.17,8,5,150,0.5,1500.5,4,0.221482094465809,0.223347308053373,0.227205881080178,0.2218575750145,0.385673991304191,1
0.292397550848906,0.285719482090022,0.301451132522531,0.305748865231098,0.07,0.07,9,4,150,0.5,1500.5,2,0.179047905347482,0.192541197731587,0.28308489373704,0.277332068447076,0.461554672164404,1
0.236215717580079,0.233309842788789,0.222618508270595,0.220472470310334,0.16,0.15,8,4,150,0.5,1500.5,4,0.192122220183017,0.198045985665771,0.205677692900378,0.195207284601967,0.391123243091526,1
0.265335345493461,0.26500384776058,0.26150418120173,0.254127728721427,0.16,0.16,14,3,150,0.5,1500.5,4,0.222067111199577,0.22441463210185,0.215501768949538,0.242035343579816,0.455571509291583,3
0.309459366589137,0.307336465171871,0.29584349285236,0.284523179416738,0.16,0.17,10,3,150,0.5,1500.5,4,0.262048276547443,0.26061830793209,0.259333125148032,0.266605547425921,0.421135194150543,3
