"V1","V2","V3","V4","V5","V6","V7","V8","n","var","Tipo","EQM_MIN"
0.272600408859866,0.267385145436403,0.266142957287267,0.260348106006457,0.18,0.17,12,6,150,0.5,"1500.5",4
0.280940525040456,0.282973610183612,0.26874552620165,0.256864147784771,0.16,0.16,8,3,150,0.5,"1500.5",4
0.279758764668217,0.280493154116942,0.267152631588568,0.260466857121305,0.18,0.15,7,3,150,0.5,"1500.5",4
0.231981258390022,0.230788098651416,0.226429531215059,0.217525648515788,0.16,0.16,11,3,150,0.5,"1500.5",4
0.304067130185915,0.308393508958936,0.293581874108146,0.288004180988341,0.16,0.17,8,4,150,0.5,"1500.5",4
0.257451453740811,0.253391872486667,0.245123620024284,0.244602648658234,0.15,0.16,9,5,150,0.5,"1500.5",4
0.25468724009711,0.25426514875236,0.241027111851485,0.244050597888345,0.15,0.15,8,4,150,0.5,"1500.5",3
0.266493094426665,0.263944077833263,0.272826381237286,0.263555477757808,0.11,0.11,16,3,150,0.5,"1500.5",4
0.267200369423296,0.266294654220098,0.254173622564717,0.247462066125181,0.16,0.16,8,3,150,0.5,"1500.5",4
0.238859969330763,0.235472833220963,0.234170171667086,0.24128175627143,0.11,0.1,21,12,150,0.5,"1500.5",3
0.295826928253891,0.295672297038861,0.283958602609301,0.272160261271352,0.17,0.17,11,3,150,0.5,"1500.5",4
0.265675394751731,0.265035653633301,0.249624114922401,0.250068979323436,0.16,0.16,8,4,150,0.5,"1500.5",3
0.326935270267386,0.317203555536244,0.312875761399109,0.300127290954546,0.19,0.17,8,3,150,0.5,"1500.5",4
0.291518843951472,0.29252768181299,0.282793331909131,0.275482250256665,0.16,0.14,8,3,150,0.5,"1500.5",4
0.276897503602142,0.271584233881755,0.265015301757626,0.263053126518229,0.09,0.15,8,3,150,0.5,"1500.5",4
0.244183924014755,0.24355199962088,0.234640019790107,0.236224686154083,0.16,0.17,10,3,150,0.5,"1500.5",3
0.237000392069147,0.239097462114349,0.235117555719206,0.230164907832861,0.13,0.14,6,6,150,0.5,"1500.5",4
0.217402778270343,0.215739162483502,0.213709956450865,0.204321470368127,0.14,0.12,17,3,150,0.5,"1500.5",4
0.252601630362398,0.24520261373121,0.245384309427077,0.242593174444564,0.13,0.14,9,3,150,0.5,"1500.5",4
0.25728199224108,0.254926178206699,0.243624187564949,0.242230014045293,0.16,0.16,10,3,150,0.5,"1500.5",4
0.264495919737632,0.263736942350123,0.255922470984542,0.24843947808942,0.18,0.17,8,5,150,0.5,"1500.5",4
0.292397550848906,0.285719482090022,0.301451132522531,0.305748865231098,0.07,0.07,9,4,150,0.5,"1500.5",2
0.236215717580079,0.233309842788789,0.222618508270595,0.220472470310334,0.16,0.15,8,4,150,0.5,"1500.5",4
0.265335345493461,0.26500384776058,0.26150418120173,0.254127728721427,0.16,0.16,14,3,150,0.5,"1500.5",4
0.309459366589137,0.307336465171871,0.29584349285236,0.284523179416738,0.16,0.17,10,3,150,0.5,"1500.5",4
0.299717125149722,0.29318111940861,0.296176418767885,0.300103078036664,0.09,0.12,16,7,150,0.5,"1500.5",2
0.268800649106176,0.265067209832182,0.260382464641416,0.261612592374147,0.14,0.14,10,3,150,0.5,"1500.5",3
0.319479933266023,0.320876764095769,0.309199497818187,0.302803896221724,0.16,0.17,7,5,150,0.5,"1500.5",4
0.26664930341362,0.261289748231275,0.255805707948325,0.25644318309018,0.16,0.15,8,3,150,0.5,"1500.5",3
0.276495950235691,0.261199400099212,0.268379243438258,0.264914189012987,0.05,0.05,7,3,150,0.5,"1500.5",2
0.276413745476248,0.280524232155746,0.264206017044813,0.255995834052267,0.14,0.15,11,4,150,0.5,"1500.5",4
0.261564260352816,0.263221477695797,0.253822256966257,0.239150016440916,0.19,0.17,9,4,150,0.5,"1500.5",4
0.235386696698344,0.237460726652844,0.229097490501235,0.226000956220999,0.17,0.15,11,5,150,0.5,"1500.5",4
0.26837743215389,0.25414371783439,0.264558261330314,0.263600494399287,0.15,0.16,12,3,150,0.5,"1500.5",2
0.260904966774295,0.260235676383306,0.251447857746218,0.249263472823763,0.16,0.15,10,6,150,0.5,"1500.5",4
0.262135615055925,0.26114665849832,0.248286309187196,0.260392267115722,0.15,0.14,8,12,150,0.5,"1500.5",3
0.250480431517182,0.252156660680155,0.239052553030746,0.236366439601552,0.15,0.15,11,4,150,0.5,"1500.5",4
0.309211728979935,0.31007825684255,0.301310812913509,0.29974118081836,0.18,0.17,13,5,150,0.5,"1500.5",4
0.230467335224742,0.230546080187658,0.223539270357706,0.216935188618474,0.07,0.15,10,3,150,0.5,"1500.5",4
0.268494671878381,0.263529340083362,0.257444976764194,0.245638552721825,0.17,0.16,8,3,150,0.5,"1500.5",4
0.294567075542274,0.292265481515554,0.289621394823711,0.279655877789531,0.15,0.14,9,3,150,0.5,"1500.5",4
0.294729014217614,0.291447202600751,0.280282787676183,0.276776686715231,0.19,0.17,9,3,150,0.5,"1500.5",4
0.254146483104308,0.257050902139609,0.248095512671694,0.249886267804609,0.13,0.12,19,3,150,0.5,"1500.5",3
0.273634166130591,0.275283113636076,0.265640121690579,0.266997408969892,0.18,0.17,10,4,150,0.5,"1500.5",3
0.276051844335242,0.275079151196992,0.26940105227396,0.273813209718424,0.12,0.13,18,5,150,0.5,"1500.5",3
0.332090948495176,0.329934563046432,0.310060545488188,0.308848657749868,0.17,0.17,9,3,150,0.5,"1500.5",4
